"t","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","E13","E14","E15","E16","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","S","E","I","R","Ntotal","incidence","incidence1","incidence2","incidence3","incidence4","incidence5","incidence6","incidence7","incidence8","incidence9","incidence10","incidence11","incidence12","incidence13","incidence14","incidence15","incidence16"
1,1908183.1095624,1873395.5127834,1840604.43149628,1736986.76314021,1822312.3725592,2035241.26403983,2143323.95015593,2106092.9932615,1916916.57916113,1770705.81842814,1621127.15205429,1408715.9603549,1238112.74017214,871972.141248006,597634.684546517,608355.52703613,5.23821524156981,5.14271868321952,5.05270282419374,4.76825860762002,5.00248870090351,5.58700669560485,5.88370797701019,5.78150407169036,5.26218977175749,4.86082187812348,4.45020863766101,3.86711179739241,3.39878337348808,2.39367895964504,1.64058632412916,1.67001645599132,2.2449493892442,2.20402229280837,2.1654440675116,2.04353940326572,2.14392372895865,2.39443144097351,2.52158913300437,2.47778745929587,2.25522418789607,2.08320937633863,1.90723227328329,1.65733362745389,1.45662144578061,1.02586241127645,0.703108424626782,0.715721338281992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25499681,70,30,0,25499781,3,0.224494938924421,0.220402229280837,0.21654440675116,0.204353940326572,0.214392372895865,0.239443144097351,0.252158913300437,0.247778745929587,0.225522418789607,0.208320937633863,0.190723227328329,0.165733362745389,0.145662144578061,0.102586241127645,0.0703108424626782,0.0715721338281992
2,1908182.73428329,1873395.02594081,1840603.8752332,1736986.02660914,1822311.78477582,2035240.62948731,2143323.30191035,2106092.33279975,1916915.98555949,1770705.3458908,1621126.67007957,1408715.59899847,1238112.5259464,871972.009156869,597634.606311955,608355.4622703,5.09721263243953,5.11707646641515,5.10175857703972,5.01611422477803,5.08635207000494,5.65979438012052,5.94130262380459,5.8604617762143,5.32687847521298,4.84838302419167,4.48583399551032,3.84332672220297,3.27941150850215,2.29171603462636,1.55898751673572,1.57278742409317,2.52250855291294,2.4819545925737,2.44208471511143,2.31430330415625,2.41951164586636,2.701218161304,2.84375186713214,2.79543104135337,2.54398912730393,2.34647114228876,2.15052042166134,1.86610869071315,1.63537042899487,1.15088928869099,0.788235348437983,0.801692496305794,0.238722553252999,0.234552508699344,0.230566680349183,0.217911557256629,0.228332087528133,0.25497810709793,0.268488202286301,0.263860467633475,0.240147990661525,0.221714425108378,0.203061215103603,0.176366444326508,0.154848621807446,0.109027184670191,0.0747064453271786,0.0760237038291337,25499673.9152535,70.0873974518921,33.804040824807,3.19330819493796,25499781,3.3804040824807,0.252250855291294,0.24819545925737,0.244208471511143,0.231430330415625,0.241951164586636,0.2701218161304,0.284375186713214,0.279543104135337,0.254398912730393,0.234647114228877,0.215052042166134,0.186610869071315,0.163537042899487,0.115088928869099,0.0788235348437984,0.0801692496305794
3,1908182.31657229,1873394.48380102,1840603.25476004,1736985.20188179,1822311.12821422,2035239.92145591,2143322.57909833,2106091.5962975,1916915.32333353,1770704.81862378,1621126.13243067,1408715.19619449,1238112.28746376,871971.862220301,597634.519317331,608355.390192907,5.0099744840797,5.14645608820935,5.20721193205547,5.32428818519375,5.22765310661682,5.79553822563432,6.06432930019411,6.00422100562145,5.45067612030375,4.88917908488307,4.57101744018261,3.86122073306144,3.19446424913464,2.21357105340598,1.49348252508507,1.49176293099893,2.76291373280948,2.73374466536714,2.69987956435534,2.58587829619333,2.67971213681404,2.98887471442491,3.14400207746897,3.09359437598504,2.8143771929161,2.5861457060225,2.37651685035306,2.05482954262257,1.78746131156024,1.25549918852478,0.858295495084213,0.871032849404503,0.503266523728114,0.495522601731803,0.487791634788417,0.462889950098188,0.483392161318966,0.539609111367433,0.568023334250099,0.558440155915309,0.508188244068906,0.468510819352591,0.429530240464698,0.372555563170454,0.32618763481573,0.229498833637278,0.15714591375026,0.159785236521315,25499666.0118579,70.9450464646605,37.2927576999062,6.75033795897956,25499781,3.72927576999062,0.276291373280948,0.273374466536714,0.269987956435534,0.258587829619333,0.267971213681404,0.298887471442491,0.314400207746897,0.309359437598504,0.28143771929161,0.25861457060225,0.237651685035306,0.205482954262257,0.178746131156024,0.125549918852478,0.0858295495084213,0.0871032849404503
4,1908181.8598436,1873393.89055756,1840602.57388043,1736984.29092751,1822310.40599376,2035239.14405942,2143321.78640239,2106090.78845921,1916914.59643977,1770704.23967742,1621125.54236194,1408714.75466444,1238112.02663816,871971.701724988,597634.424355402,608355.311403231,4.96814510345301,5.22164315061009,5.36008978932011,5.68518267198436,5.41797125851554,5.98434763124168,6.24212117116512,6.20215428751392,5.62420695299318,4.97525274984597,4.69795768501068,3.91424667391051,3.13884989539812,2.15575651698751,1.44178753897492,1.42483237378427,2.97439607272488,2.96665064528273,2.94553403803893,2.86353722767793,2.9310273299291,3.26471078492125,3.43011106979179,3.37975900485714,3.07328652878033,2.80914069688404,2.59118764530341,2.22903978076071,1.91845072718147,1.34372645900799,0.916139653948139,0.926761446521252,0.790342260176012,0.780673022007174,0.770138908874771,0.735290812079207,0.763979279009819,0.852360123821751,0.896818415396329,0.882180536538044,0.802641836842327,0.738388521312627,0.677987936913658,0.586849433415081,0.511638178000883,0.359581412512971,0.245958670661937,0.249776873241035,25499657.3373892,72.454545450709,40.5634591116111,10.6446062208036,25499781,4.05634591116111,0.297439607272488,0.296665064528273,0.294553403803893,0.286353722767793,0.29310273299291,0.326471078492125,0.343011106979179,0.337975900485714,0.307328652878033,0.280914069688404,0.259118764530341,0.222903978076071,0.191845072718147,0.134372645900799,0.0916139653948139,0.0926761446521252
5,1908181.36646727,1873393.2490746,1840601.8349405,1736983.29395213,1822309.61973791,2035238.2997585,2143320.92678873,2106089.91224462,1916913.80728156,1770703.61086806,1621124.90186076,1408714.27616114,1238111.74478686,871971.528582313,597634.321993618,608355.226318129,4.96515639214048,5.33556350922091,5.5536579661774,6.09359821686526,5.65110867624588,6.2188441133638,6.46665745876711,6.44630345753318,5.84046336719122,5.1005766007971,4.8607997843064,3.99740100534731,3.10852841686416,2.11547356971401,1.40205027335271,1.37025942425971,3.16369659646231,3.18646933239708,3.18437301924373,3.15144841452664,3.17865010509826,3.53452436818761,3.70822722819045,3.65981609514457,3.3261845508413,3.0210450731774,2.79928561551409,2.39320904120055,2.03293383745945,1.41892351839549,0.964151157051263,0.97142747367275,1.09740677672383,1.08841693575285,1.07667168177836,1.03593945635705,1.06947493644898,1.1923509804197,1.25377962152758,1.2341888667408,1.12264561088295,1.0299696589993,0.947549043621496,0.818029140357586,0.709327841226096,0.49780997514089,0.340046217130455,0.344768897080651,25499647.9208167,74.5264422321466,43.6943654265629,14.8583756401886,25499781,4.36943654265629,0.316369659646231,0.318646933239708,0.318437301924373,0.315144841452664,0.317865010509826,0.353452436818761,0.370822722819045,0.365981609514457,0.33261845508413,0.30210450731774,0.279928561551409,0.239320904120055,0.203293383745945,0.141892351839549,0.0964151157051263,0.097142747367275
6,1908180.83797444,1873392.56115432,1840601.03912571,1736982.2097568,1822308.76987645,2035237.38969589,2143320.0018547,2106088.96922205,1916912.95702362,1770702.93302641,1621124.2119024,1408713.76166186,1238111.44274651,871971.343400583,597634.21261684,608355.135207069,4.99586009972848,5.48282264963189,5.78292329819928,6.54616246223734,5.92258902730052,6.49360066488861,6.73197822007864,6.73078662777296,6.0942787587767,5.26063099665466,5.05520539524247,4.10689137356198,3.1002995537026,2.09047674186661,1.37276760230986,1.32661248551817,3.33636515517914,3.39786122940479,3.42066535046516,3.45298412326874,3.42677977125215,3.8029620696135,3.98325886364473,3.9384478953,3.57744823817474,3.22642187021566,3.00463384746758,2.55096935608713,2.13472879420197,1.4838869921008,1.00432900281587,1.00718878873112,1.42252733707801,1.41768617602815,1.40692881050061,1.36603483774013,1.39972637992581,1.55921934269537,1.63836126313542,1.61409646634751,1.46782446529684,1.34238011311819,1.2377535639555,1.06527774080649,0.917802100906215,0.643025059227444,0.438527820212973,0.443765580470542,25499637.7762456,77.0938859574708,46.7489313479231,19.3809370574452,25499781,4.67489313479231,0.333636515517914,0.339786122940479,0.342066535046516,0.345298412326874,0.342677977125215,0.38029620696135,0.398325886364473,0.39384478953,0.357744823817474,0.322642187021566,0.300463384746758,0.255096935608713,0.213472879420197,0.14838869921008,0.100432900281587,0.100718878873112
7,1908180.27520602,1873391.82773002,1840600.18667315,1736981.03598751,1822307.85585949,2035236.41393557,2143319.01207763,2106087.95982142,1916912.04581674,1770702.20617481,1621123.47263205,1408713.21150696,1238111.12095708,871971.146537571,597634.096458489,608355.038217545,5.05625813185343,5.65937008546557,6.04427409656926,7.04092687363882,6.22929794575615,6.80473754108246,7.03376099469804,7.05136952327024,6.38194711666573,5.45209906532159,5.27804226774999,4.23989515317356,3.11164710520883,2.07897404889282,1.3527244533893,1.29271307470671,3.4969828399135,3.6045886572777,3.65785929708548,3.77093875324475,3.67885020905398,4.07378010703366,4.25915215116434,4.21940406462931,3.83061077821663,3.42902230129942,3.21033181324113,2.70528850221978,2.22701489757451,1.54095276642239,1.03835090773763,1.03587199218032,1.76428003808581,1.76783561513415,1.76083663071485,1.72708507959451,1.75496398690192,1.95302474116203,2.05046226212397,2.02195803308288,1.8382004479888,1.67516321609327,1.54848907295873,1.32810971168333,1.13595787404345,0.794324989445056,0.540707414976791,0.545971312184206,25499626.9055921,80.1080374774425,49.7790000382945,24.2073704261737,25499781,4.97790000382945,0.34969828399135,0.36045886572777,0.365785929708548,0.377093875324475,0.367885020905398,0.407378010703366,0.425915215116434,0.421940406462931,0.383061077821663,0.342902230129942,0.321033181324113,0.270528850221978,0.222701489757451,0.154095276642239,0.103835090773763,0.103587199218032
8,1908179.67845148,1873391.04904557,1840599.27706673,1736979.76935828,1822306.87635245,2035235.37168228,2143317.95704441,2106086.88356731,1916911.07300415,1770701.42968985,1621122.68353233,1408712.6255281,1238110.77954032,871970.938149813,597633.973629869,608354.935398871,5.1432482465473,5.86218557194184,6.335147290053,7.57700259673463,6.5691524269979,7.14954866581111,7.3689281216677,7.40506825790237,6.7008710845323,5.67258390726975,5.52709650064814,4.39433431066359,3.14059165980528,2.07953193991128,1.34093534272302,1.26758633935022,3.6493748742557,3.80973931515701,3.89880118191335,4.10772529389702,3.93774076793232,4.35008614323423,4.53914923527668,4.50575756365405,4.088590221514,3.63198662145086,3.41894711234773,2.85863306343784,2.31246595846606,1.5920884084303,1.0676350931946,1.05903194273038,2.12165243185824,2.13855391819787,2.13862797181631,2.12085205519269,2.13572597981369,2.37416087819282,2.4903312722514,2.45815990167055,2.23410962996294,2.02819901689795,1.8799192605168,1.60630484911965,1.36297902139176,0.951019214897382,0.646040960405599,0.650756770724595,25499615.3010418,83.5338122625594,52.8277527968921,29.3373931329102,25499781,5.28277527968921,0.36493748742557,0.380973931515701,0.389880118191335,0.410772529389702,0.393774076793232,0.435008614323423,0.453914923527668,0.450575756365405,0.4088590221514,0.363198662145086,0.341894711234773,0.285863306343784,0.231246595846606,0.15920884084303,0.10676350931946,0.105903194273038
9,1908179.04752312,1873390.22475051,1840598.30913767,1736978.40575644,1822305.82933373,2035234.26139363,2143316.83557023,2106085.7391995,1916910.03722744,1770700.60238561,1621121.84350938,1408712.00311508,1238110.41834166,871970.718219317,597633.844136181,608354.826715002,5.25448368768867,6.08910930171418,6.65385268413338,8.15438064467317,6.940929367177,7.52630523705841,7.73543841038514,7.78993910139082,7.04937648078956,5.92045878642616,5.80092027627342,4.56875444009395,3.1856087574224,2.09102174728459,1.33661102616331,1.25043272618222,3.79673253200393,4.01584885443029,4.14585219141692,4.46547258128161,4.2058877965368,4.63446784847098,4.82592616940686,4.8000404856596,4.35381119504963,3.83795411699175,3.63261840054081,3.01305825734333,2.39332807092554,1.63894788176809,1.0933774578605,1.07798835365408,2.49398769224614,2.52981570411676,2.54080062038894,2.54932855212969,2.54282073684088,2.82331125096607,2.95851823742637,2.92337394735775,2.65615997075805,2.40166087400099,2.23244714497147,1.89987255282715,1.59829847443854,1.11260043005706,0.754116599914406,0.757637841726769,25499602.9463145,87.3476226748564,55.9313121933407,34.774750630167,25499781,5.59313121933407,0.379673253200393,0.401584885443029,0.414585219141692,0.446547258128162,0.42058877965368,0.463446784847098,0.482592616940686,0.48000404856596,0.435381119504963,0.383795411699175,0.363261840054081,0.301305825734333,0.239332807092554,0.163894788176809,0.10933774578605,0.107798835365408
10,1908178.38184114,1873389.35400909,1840597.28118046,1736976.94036661,1822304.71220791,2035233.08090982,2143315.64583551,2106084.5248118,1916908.93654883,1770699.72260985,1621120.95099227,1408711.34329273,1238110.03697825,871970.486584084,597633.707894798,608354.712059194,5.38821262956182,6.33864696712364,6.99936979997353,8.77371975030727,7.34406622262375,7.93402841757833,8.13204669341563,8.20483570210264,7.42649778038844,6.19469394094664,6.09865590567248,4.76218550401522,3.24553534669446,2.11255866273145,1.33912057887561,1.24059573543595,3.94175175525723,4.22504150350719,4.40102356876408,4.84614128977746,4.48541443830355,4.92914195550509,5.12175239902515,5.10440135034248,4.62834591120201,4.04918983453071,3.85317437559224,3.17031106449343,2.4715077663256,1.68293334841577,1.11659343420088,1.09386690903631,2.88092151083531,2.94182681503136,2.9680693362231,3.01471056962176,2.97728305348205,3.30139777460722,3.45581843553523,3.41850418030846,3.10518256461623,2.79596576710431,2.60667265683999,2.20901102707892,1.8415555978167,1.27871328074507,0.864632453787444,0.86625208513645,25499589.8181223,91.5347696374469,59.1205909042792,40.5265171087696,25499781,5.91205909042792,0.394175175525723,0.422504150350719,0.440102356876408,0.484614128977746,0.448541443830355,0.492914195550509,0.512175239902515,0.510440135034248,0.462834591120201,0.404918983453071,0.385317437559224,0.317031106449343,0.24715077663256,0.168293334841577,0.111659343420088,0.109386690903631
